Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1976,61.01,0.0,0.17,3.18,0.01,21.41,6.85,0.0,-999,0.0,23.2,5.63,11.75,5.93,4.77,2.63,0.0,10.05,0.58,50.06,14.93,51.58,5.31,0.0,19.87,0.12,51.96,15.53,39.69,1.69,9.78,2.02,24.91,7.75,0.0,0.68,9.39,5.59,0.0,30.98,0.46,0.0,6.35,1.07,31.43,0.15,42.43,3.96,25.48
1977,52.7,0.87,1.73,4.16,3.9,16.41,5.22,1.0,-999,0.46,33.52,6.63,26.33,24.04,8.31,13.39,0.0,11.7,3.28,39.68,20.67,48.25,15.37,0.64,24.22,1.25,55.02,18.93,33.79,3.97,7.79,3.29,22.5,22.63,1.0,2.0,16.89,2.74,0.0,35.83,4.91,0.0,4.82,5.13,21.2,2.08,45.09,17.21,22.65
1978,43.09,0.0,0.14,4.44,1.24,18.99,3.03,0.0,-999,0.0,41.18,8.46,20.77,20.17,9.97,8.08,0.0,8.56,1.94,44.22,22.69,65.34,13.22,0.0,38.37,0.08,79.31,32.33,36.42,2.15,9.03,5.25,23.13,15.94,0.61,2.18,9.85,4.61,0.0,53.09,0.94,0.13,5.73,2.67,31.56,4.25,51.01,12.73,38.61
1979,56.04,0.0,1.01,3.66,1.43,26.97,9.71,2.0,-999,0.0,35.09,17.25,22.93,19.71,16.29,4.78,0.0,11.11,4.25,34.54,21.52,52.34,17.28,0.0,35.43,0.15,65.61,30.61,27.42,6.11,10.41,6.63,22.39,14.67,1.84,4.47,14.59,8.22,0.0,44.61,0.98,0.13,11.47,3.85,24.7,10.25,40.65,9.26,38.38
1980,58.63,0.0,0.02,0.74,0.06,11.43,7.23,0.0,-999,0.0,17.37,7.11,8.14,5.81,5.71,2.76,0.0,7.93,0.58,43.13,16.21,47.3,3.97,0.0,25.72,0.12,51.46,14.36,31.69,2.49,6.21,1.35,22.23,4.68,0.0,1.97,6.28,4.15,0.0,28.77,0.31,0.0,2.48,1.27,26.31,4.21,35.08,7.58,23.03
1981,36.9,0.0,0.19,0.23,0.03,8.28,9.49,0.0,-999,0.04,16.69,2.34,9.79,9.84,2.85,3.24,0.0,12.64,2.02,30.59,12.82,33.42,5.25,0.09,9.24,0.3,31.3,8.83,25.06,3.89,3.45,0.36,17.52,9.06,0.61,0.0,8.56,7.93,0.0,19.29,0.58,0.0,1.03,1.59,22.13,0.36,26.13,11.64,11.69
1982,65.16,1.1,1.53,2.12,1.64,18.85,10.25,1.0,-999,0.86,29.44,13.04,15.37,11.47,11.4,3.78,0.0,13.37,3.17,53.17,20.44,50.8,9.52,1.34,30.68,0.75,60.87,22.61,37.98,4.47,9.72,4.99,21.76,9.82,1.84,1.08,6.99,7.16,0.16,36.89,3.38,0.0,7.84,5.43,29.32,2.94,36.13,6.74,32.03
1983,48.42,0.54,1.72,1.28,0.73,14.69,5.9,0.0,-999,0.28,18.29,7.94,11.04,8.39,10.77,4.15,0.0,8.98,1.61,26.57,10.74,37.88,10.49,0.79,20.66,0.68,38.16,16.7,21.28,1.46,6.11,1.43,14.5,6.4,0.77,2.29,5.59,1.59,0.0,25.48,2.28,0.41,2.85,3.71,16.55,3.75,21.63,6.49,24.24
1984,54.75,0.0,0.71,1.25,0.92,20.69,6.09,1.0,-999,0.0,15.22,12.69,8.27,5.95,5.28,4.45,0.0,7.53,2.56,36.77,14.26,40.2,3.98,0.0,22.46,0.02,44.69,10.19,23.79,2.95,6.9,5.03,18.41,7.92,1.39,1.99,9.49,2.36,0.0,24.27,1.69,0.0,11.61,2.22,20.13,3.21,21.71,4.85,26.74
1985,60.37,1.99,1.6,2.91,1.02,21.76,3.92,1.0,-999,1.35,35.94,20.25,20.97,15.25,11.55,4.01,0.0,9.01,2.61,41.71,15.85,58.49,13.13,1.4,39.95,1.64,62.45,26.22,28.08,3.17,8.47,9.23,14.76,11.92,0.61,5.22,7.15,0.87,1.5,44.92,3.07,0.49,9.64,2.74,19.75,7.27,42.36,7.0,42.15
