Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1976,105.04,2.07,3.63,2.66,1.07,25.4,46.49,14.0,0.0,0.21,45.49,26.17,34.99,29.62,13.8,15.2,0.32,39.72,14.68,77.61,68.68,82.4,20.16,1.54,35.84,2.23,82.0,28.68,76.32,26.46,3.46,5.45,59.79,38.12,7.23,4.51,41.17,28.98,0.06,48.26,7.8,2.03,13.4,11.32,67.89,12.5,73.56,20.67,40.74
1977,103.72,5.97,9.56,3.56,2.3,21.16,49.83,19.0,1.0,2.21,59.3,35.55,52.88,50.24,18.07,35.16,0.63,43.08,28.73,70.47,73.32,85.51,32.22,5.3,47.93,6.38,88.09,32.32,76.33,34.54,0.67,5.84,64.65,53.31,8.84,9.42,53.56,32.54,1.78,63.22,17.6,2.15,11.43,27.79,69.35,28.07,76.65,40.6,39.51
1978,101.64,4.35,15.32,4.89,1.77,40.74,52.4,13.0,0.0,0.81,83.01,34.22,61.08,57.74,45.73,37.53,1.9,47.62,22.79,80.34,81.47,102.45,46.31,8.78,77.75,3.8,113.12,66.97,83.92,36.82,5.84,10.86,73.63,57.65,30.3,8.27,61.36,40.97,0.49,86.99,23.95,7.92,18.65,22.66,80.28,18.64,94.36,34.4,68.82
1979,102.62,2.54,14.15,5.81,2.36,41.75,38.81,15.0,0.0,0.58,65.2,41.8,50.26,44.8,32.94,26.04,1.19,34.42,22.09,57.22,66.63,93.39,36.2,4.47,57.3,3.08,97.55,49.54,60.85,27.34,4.73,12.02,52.38,47.92,26.46,13.86,45.04,30.14,0.83,68.49,13.05,6.09,28.74,17.28,52.58,24.33,77.13,32.73,60.46
1980,107.0,1.87,8.29,1.02,0.6,24.24,43.82,12.0,0.0,1.07,54.87,25.23,42.64,38.35,24.0,19.59,0.79,42.31,18.76,66.68,69.29,84.6,28.0,3.71,42.88,5.79,84.9,38.08,72.66,24.73,4.3,4.25,66.14,46.59,13.23,9.02,47.94,29.45,1.46,50.95,10.15,2.98,10.88,14.75,76.57,19.18,74.86,27.02,42.62
1981,90.83,2.2,3.2,0.31,0.58,12.33,35.81,13.0,0.0,0.39,38.25,21.7,30.41,30.98,10.13,17.5,0.16,32.47,16.97,50.46,55.94,68.81,15.85,2.18,32.18,4.04,67.71,23.52,58.09,23.27,1.88,0.79,51.17,37.83,2.61,3.81,39.56,26.11,0.69,42.38,9.45,0.4,8.54,15.98,60.63,9.43,62.0,29.68,28.14
1982,125.35,3.07,7.78,4.27,2.7,30.27,38.64,14.0,0.0,2.71,60.32,38.23,41.2,33.72,25.91,13.96,1.96,37.97,15.85,73.82,66.1,86.81,23.55,5.06,57.9,5.33,93.32,43.99,65.66,21.85,8.3,13.51,52.44,35.69,11.07,9.38,35.93,26.58,2.95,66.9,9.86,4.55,20.41,12.71,62.64,19.05,75.4,18.14,50.56
1983,108.91,4.3,11.28,1.55,1.32,30.77,31.45,7.0,0.0,2.17,60.47,26.9,37.59,31.24,31.58,15.85,3.99,27.21,12.69,44.3,56.18,82.54,26.59,6.18,43.06,3.88,86.57,51.97,48.08,15.58,8.51,6.52,38.84,33.81,12.24,8.59,31.53,18.54,2.06,61.18,9.01,7.73,13.19,11.98,45.94,16.15,69.67,22.96,48.09
1984,103.83,1.45,5.31,1.27,1.89,29.76,34.29,7.0,0.0,0.14,45.15,44.13,33.24,30.36,15.84,14.21,0.32,30.65,12.19,58.48,56.29,77.18,16.27,1.85,42.26,1.41,81.15,29.33,58.77,17.46,5.55,14.72,51.24,34.91,9.46,7.07,36.17,20.55,0.07,47.85,7.16,1.76,29.45,9.67,52.11,16.75,63.21,17.36,52.84
1985,115.76,4.31,11.45,4.9,2.49,35.48,42.55,14.0,1.0,2.03,73.8,71.54,52.28,50.76,33.61,26.46,2.45,39.35,17.44,76.17,72.24,91.52,38.14,7.94,67.09,3.77,92.0,54.39,71.97,25.87,7.35,20.15,64.04,50.81,19.46,23.9,50.6,29.45,1.58,73.15,16.88,6.72,32.16,15.78,73.17,45.18,84.78,33.68,69.74
1986,106.9,0.84,2.97,1.61,0.3,14.8,32.99,7.0,0.0,0.72,45.59,21.5,28.42,30.22,12.11,10.61,0.16,27.69,12.83,61.57,53.37,80.54,13.4,1.93,36.28,2.02,77.07,23.15,58.89,14.48,6.44,1.7,49.93,32.21,6.61,4.54,32.73,15.91,0.91,46.58,4.13,1.84,9.06,8.62,55.64,15.55,71.16,18.29,38.52
1987,89.41,0.42,0.78,7.77,2.91,22.72,28.08,7.0,0.0,0.18,26.76,25.06,18.98,18.05,14.17,6.45,0.0,22.81,9.55,63.78,34.08,53.77,13.56,0.29,31.24,1.98,64.76,23.11,58.05,13.83,10.11,15.94,47.36,21.77,8.84,6.84,26.77,11.96,0.17,35.62,2.9,2.11,18.49,9.2,57.81,15.72,44.9,16.35,48.32
1988,111.05,2.49,7.57,3.84,3.28,32.47,37.66,10.0,0.0,1.42,49.09,35.96,39.09,38.69,17.69,17.05,1.09,31.36,16.61,62.53,56.24,80.07,21.09,4.25,41.05,5.15,80.86,33.77,62.04,20.66,4.82,13.53,51.26,40.74,13.23,7.59,39.76,18.93,1.08,55.67,10.53,3.24,25.43,16.46,55.03,14.89,68.17,28.47,54.41
1989,109.57,3.99,13.73,2.63,3.55,32.99,51.05,15.0,-999.0,2.46,59.07,38.63,43.7,39.0,24.68,22.28,4.96,43.76,19.72,84.88,72.39,87.43,28.18,7.87,50.83,7.23,95.64,42.48,75.89,34.81,7.17,15.37,63.36,46.34,10.77,8.61,50.44,34.55,2.66,64.09,15.48,8.08,25.94,19.45,69.16,19.84,82.58,29.21,55.2
1990,112.83,0.43,2.67,7.07,4.35,27.77,19.45,1.0,0.0,0.0,31.98,28.24,14.28,10.96,15.15,4.52,0.32,13.87,2.94,39.44,32.42,55.83,10.15,0.89,37.23,0.23,62.81,25.12,42.25,3.52,5.35,16.35,26.76,12.89,7.07,8.39,13.84,9.24,0.01,38.1,1.52,2.48,18.01,2.86,36.46,15.03,49.0,5.38,44.22
1991,99.13,0.34,1.76,2.85,0.89,27.68,23.24,1.0,0.0,0.33,55.24,24.57,34.39,25.58,18.98,6.41,0.16,20.01,4.1,54.72,53.91,82.92,22.43,0.49,36.14,0.61,77.54,33.07,54.93,6.68,4.76,8.98,40.37,26.91,8.84,3.33,28.14,9.49,0.09,50.94,2.66,1.2,23.27,5.37,46.88,11.58,76.29,12.61,47.92
