Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1975,0.29,35.78,49.64,77.74,61.76,26.25,6.28,16.0,91.01,33.69,22.4,14.8,17.41,15.21,58.7,32.18,50.29,7.98,9.74,4.26,4.86,10.72,39.86,38.11,7.53,30.31,37.73,9.57,7.84,43.79,41.01,4.63,6.52,60.37,14.32,5.01,4.52,36.25,32.06,28.42,66.88,39.27,8.84,7.25,11.72,7.24,3.44,12.67
1976,0.0,29.46,40.67,76.08,56.13,29.02,4.44,17.0,50.74,34.36,17.67,13.95,16.03,9.07,60.54,9.67,48.07,7.02,10.61,1.74,4.33,17.57,30.16,43.02,10.96,18.95,40.93,4.47,7.5,48.3,36.74,0.57,4.92,66.84,10.1,0.75,3.53,29.3,45.18,20.11,59.25,44.0,11.7,1.46,8.72,11.07,1.15,16.63
1977,0.08,71.81,72.74,84.17,61.96,34.55,7.03,39.0,79.42,73.49,20.9,23.32,20.79,17.49,52.4,29.69,86.16,7.42,26.05,7.34,8.61,6.48,35.19,70.23,10.81,45.46,30.07,9.14,11.2,71.7,54.05,2.71,11.51,84.0,22.58,5.12,7.67,62.57,22.68,47.92,103.95,45.66,27.73,4.58,21.3,6.61,6.93,15.55
1978,0.0,76.09,72.04,90.73,63.61,35.06,3.89,12.0,74.42,68.75,15.72,14.88,21.65,13.26,75.36,28.57,82.76,5.91,11.69,1.75,3.57,8.78,46.92,67.33,8.8,28.94,43.62,10.02,4.49,65.76,44.3,2.04,6.64,90.84,17.65,1.61,2.64,44.74,28.76,45.95,96.42,51.85,11.1,3.0,13.61,3.7,3.47,17.12
1979,0.0,33.79,39.96,89.99,64.73,32.61,4.2,8.0,78.05,39.54,8.38,22.8,11.34,5.07,55.83,9.3,57.14,5.4,5.04,1.74,0.66,2.16,19.94,37.3,12.27,14.94,29.06,4.37,6.88,57.42,50.08,2.31,0.68,79.23,14.9,2.0,1.6,32.75,19.37,15.63,78.49,52.74,6.59,4.82,12.02,0.09,4.58,15.48
1980,0.0,77.07,94.48,87.4,57.63,43.47,6.75,34.0,93.55,80.54,27.94,10.14,36.56,27.69,85.51,46.32,101.16,7.98,30.05,1.99,1.89,12.98,68.38,88.76,10.49,46.97,53.92,4.41,20.75,70.14,42.59,2.41,9.09,102.24,11.3,6.02,9.17,78.8,38.65,69.52,106.17,42.49,26.98,1.23,9.18,5.7,15.37,16.62
1981,0.0,59.28,51.94,86.4,69.55,30.72,5.24,21.0,102.82,69.39,8.66,21.54,7.37,7.72,46.6,14.38,79.75,4.33,12.16,1.25,2.0,2.63,21.52,64.69,14.92,32.59,24.76,2.42,11.03,42.63,63.81,1.34,3.51,72.39,21.42,3.19,7.48,58.01,22.29,28.37,87.78,53.78,10.7,2.49,21.1,1.6,2.82,17.81
1982,0.0,38.06,51.93,77.5,49.87,24.96,4.04,9.0,76.32,39.88,8.25,15.81,6.78,6.78,44.56,11.74,78.99,3.79,8.75,2.49,0.65,4.87,19.21,54.48,9.56,13.98,21.99,3.15,7.51,57.95,36.08,1.25,2.0,81.39,12.2,1.71,3.25,32.76,21.19,24.45,93.11,37.11,4.8,1.96,17.87,2.81,3.81,18.21
1983,0.16,55.85,69.53,79.86,53.9,35.26,11.31,43.0,72.26,57.5,39.37,13.84,45.45,40.18,72.57,56.01,61.16,10.13,36.59,2.76,10.4,16.04,53.93,56.55,20.02,47.78,50.73,10.85,30.31,68.54,33.91,5.69,20.66,79.62,9.57,12.64,17.68,57.37,40.51,52.35,81.0,40.37,28.16,3.6,12.91,11.66,19.58,26.61
1984,0.0,42.99,52.77,79.0,72.02,27.54,6.74,24.0,69.31,45.59,17.04,19.86,19.54,11.99,66.53,23.22,48.29,5.05,12.08,3.01,2.51,6.98,35.49,47.57,18.21,18.13,36.38,4.78,11.73,60.54,42.96,0.94,6.2,74.1,17.31,2.89,4.52,39.84,22.94,27.47,98.62,44.84,10.46,1.61,14.3,4.44,8.1,15.15
1985,0.0,38.99,59.71,86.63,62.21,31.9,2.37,19.0,87.38,43.71,13.86,26.17,10.04,7.63,51.71,19.77,67.02,1.8,15.91,0.0,1.63,3.14,25.25,52.9,18.09,29.07,29.05,2.74,7.76,65.2,49.23,0.7,2.99,77.01,19.58,1.19,2.03,46.74,22.93,31.58,90.54,52.41,10.32,0.06,19.74,4.12,5.3,18.16
1986,0.08,65.32,61.35,75.88,58.3,26.63,2.8,25.0,97.59,68.74,11.27,23.71,15.17,13.34,49.59,28.59,83.85,1.3,23.41,0.0,3.48,3.64,32.36,70.87,11.09,45.7,27.75,1.97,12.16,51.25,53.74,1.15,6.37,65.16,26.66,2.74,1.79,78.38,14.9,41.96,82.79,49.33,24.54,0.52,19.33,4.81,8.22,13.28
1987,0.08,61.01,66.42,76.61,64.57,34.03,7.47,45.0,85.34,54.7,23.71,21.83,31.46,17.29,49.78,31.46,72.03,9.11,31.71,2.74,13.61,12.87,42.36,58.68,9.73,38.83,34.23,6.92,18.93,50.13,46.91,2.68,11.8,68.08,25.5,9.8,7.62,59.32,29.96,42.04,73.8,43.92,25.31,4.77,17.06,10.86,20.75,13.58
1988,0.0,59.09,67.07,80.89,71.91,40.82,13.07,44.0,74.53,48.42,41.48,28.16,48.44,41.99,66.53,42.93,64.11,19.33,40.32,7.5,26.62,26.44,49.67,58.82,31.35,39.69,45.78,16.87,30.86,52.0,62.03,10.36,31.63,73.62,26.63,30.3,10.58,58.39,46.52,50.63,85.69,60.92,32.76,11.9,18.8,29.06,26.74,30.51
1989,0.0,33.59,32.69,92.46,61.76,28.6,3.83,24.0,102.85,34.17,13.59,15.79,16.36,9.45,40.64,14.05,55.38,5.48,16.39,2.25,3.87,10.0,22.44,32.67,13.82,22.41,28.31,6.28,11.7,74.79,43.98,1.64,4.11,55.63,10.74,2.1,2.87,43.94,32.33,20.71,84.71,55.49,7.31,2.57,8.07,5.0,3.62,18.96
1990,0.0,70.49,63.57,79.83,60.49,32.71,3.89,20.0,102.32,74.78,13.26,28.75,16.76,11.9,63.09,23.53,90.54,6.15,17.19,0.0,2.35,3.53,32.51,72.08,17.58,31.47,38.86,4.36,10.28,64.85,53.19,1.43,2.79,81.93,28.38,1.1,0.99,71.19,28.27,40.48,92.03,52.26,11.97,0.81,20.05,2.98,2.97,17.26
1991,0.57,39.6,54.29,75.8,68.14,26.62,13.01,40.0,83.49,40.87,17.73,19.8,31.73,28.47,62.35,28.27,65.82,12.09,37.59,4.24,7.86,7.75,41.41,45.92,19.0,33.22,36.8,9.06,22.69,55.77,49.73,5.7,13.32,69.16,23.97,12.1,11.19,51.99,26.01,32.27,77.4,45.84,16.12,4.85,13.95,6.04,13.61,16.46
1992,0.08,20.93,26.09,76.12,68.99,18.2,1.87,7.0,66.52,27.31,1.45,25.82,5.63,3.28,26.74,5.16,48.37,1.73,11.21,1.75,0.93,0.67,7.55,24.37,9.59,16.65,8.03,1.81,7.6,61.57,48.06,0.57,0.28,35.01,27.93,0.0,1.41,36.38,6.52,9.41,69.59,43.65,6.12,0.32,19.72,0.99,1.44,6.67
1993,0.16,62.57,61.95,79.28,54.76,23.14,7.99,23.0,85.39,67.77,2.3,5.52,12.46,13.03,40.81,31.35,82.46,10.08,32.27,4.76,3.29,0.39,21.87,60.27,2.04,43.46,12.49,7.44,23.39,61.41,35.02,4.43,10.37,63.47,11.39,10.1,9.31,71.95,3.88,44.76,86.3,41.16,22.38,3.72,7.04,0.27,17.89,5.03
1994,0.17,20.65,37.25,89.07,63.52,35.86,5.69,9.0,68.08,11.95,7.05,30.99,16.14,12.51,54.83,19.16,50.66,8.19,21.95,2.5,3.69,1.47,19.82,24.95,19.32,15.97,25.32,4.82,14.15,79.57,64.6,3.51,8.55,80.39,25.93,4.7,3.48,31.23,12.62,11.27,82.21,72.89,7.01,5.15,18.32,3.12,8.65,20.55
1995,0.0,64.29,58.25,80.2,56.39,32.73,10.52,21.0,87.72,47.98,19.75,13.01,27.11,23.02,52.95,31.51,84.94,10.86,35.41,4.99,9.69,9.33,33.15,63.39,12.24,27.02,35.02,8.77,18.52,65.72,42.73,5.9,10.75,70.39,17.13,11.41,6.63,47.46,21.13,35.59,83.13,49.38,14.21,7.42,9.8,10.13,8.89,18.48
1996,0.0,37.37,40.79,90.48,71.56,32.1,1.18,0.0,75.4,40.01,5.78,24.5,14.73,10.66,37.85,11.96,61.44,1.03,9.83,0.24,3.09,3.48,17.24,42.46,19.15,18.24,13.26,1.02,5.09,71.95,61.98,0.64,3.3,62.93,29.1,2.0,2.21,45.6,14.12,22.7,89.72,66.01,6.68,0.08,19.38,1.52,1.92,16.32
1997,0.0,40.1,51.53,90.97,62.01,28.84,5.52,15.0,83.36,37.48,12.03,13.34,15.62,11.36,45.83,15.89,75.59,6.74,23.42,0.0,3.83,2.31,24.37,38.73,8.13,25.89,28.85,6.1,15.43,72.47,43.34,1.66,3.85,73.93,14.59,3.77,7.05,43.06,13.0,24.45,85.29,44.53,14.99,0.45,12.11,1.5,3.1,10.9
1998,0.0,78.25,83.48,79.72,52.68,32.4,2.48,9.0,99.09,64.54,10.54,29.85,15.97,13.68,67.88,28.78,101.87,1.42,27.67,0.5,7.68,4.04,33.17,81.69,21.46,38.2,35.22,2.57,12.71,86.62,47.28,0.5,6.51,109.01,27.81,2.06,2.87,77.99,17.17,42.53,118.2,47.28,17.64,0.94,26.95,1.63,3.33,18.21
1999,0.39,50.73,63.74,74.77,56.5,26.45,11.73,28.0,69.88,51.58,13.75,18.29,24.37,27.51,48.79,44.3,73.92,15.75,35.13,3.25,8.63,6.5,33.94,56.94,13.79,32.66,26.03,8.98,26.52,65.4,43.5,6.79,17.14,71.09,19.04,12.85,14.44,57.11,18.71,50.23,92.04,44.41,24.5,5.95,14.69,5.95,23.07,15.84
2000,0.0,64.57,64.7,96.04,61.96,48.55,2.65,5.0,78.85,54.98,9.92,23.38,8.83,4.88,75.42,18.01,88.1,2.0,12.17,0.0,0.57,3.93,35.99,71.62,21.47,21.41,47.11,2.14,8.61,96.16,57.91,0.7,0.51,93.93,17.08,0.81,2.87,57.01,28.86,37.55,104.4,69.32,6.49,0.07,13.5,0.94,1.54,29.09
2001,0.0,27.59,52.07,91.56,73.97,43.22,7.48,7.0,71.89,26.18,14.8,26.04,20.25,13.22,61.94,15.6,54.19,9.05,14.36,4.51,9.04,11.9,27.85,31.59,20.0,12.42,39.37,8.51,13.2,83.38,64.1,5.83,6.3,81.0,20.33,6.59,7.85,43.02,29.36,18.0,82.35,64.71,7.99,5.06,17.95,7.69,2.94,29.34
2002,0.0,52.33,56.1,93.75,66.17,49.33,14.14,35.0,69.1,56.69,20.03,21.01,30.97,29.07,66.25,42.24,67.09,21.08,39.88,9.27,12.13,8.45,34.82,50.76,17.43,44.53,52.34,16.12,29.31,86.27,63.29,9.98,22.25,80.54,21.29,18.32,19.04,68.43,37.72,44.57,82.92,68.02,30.87,7.48,17.53,5.98,17.77,25.7
2003,0.0,24.04,41.36,94.59,70.66,44.4,3.42,3.0,52.24,21.55,14.23,42.24,15.76,10.69,54.8,9.76,57.46,5.23,9.82,2.01,2.51,7.45,28.14,32.77,30.97,12.73,32.66,4.96,11.13,81.81,63.06,1.43,1.88,72.93,30.17,0.0,2.21,28.61,28.48,14.53,74.52,69.38,10.21,3.0,26.44,4.27,1.44,29.54
