Year,AK,HI,PR,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1965,130.24,-999,-999,10.35,13.35,23.54,9.99,91.11,52.22,26.71,0.0,5.91,83.97,61.42,50.78,48.7,53.93,34.52,1.76,60.52,35.96,108.44,78.24,116.19,41.54,10.05,99.42,21.51,126.96,85.02,94.39,42.34,55.22,62.7,77.16,48.67,27.15,20.79,60.33,65.0,5.95,103.57,26.98,6.97,61.58,34.64,91.99,17.31,95.92,51.89,-999
1966,139.49,-999,-999,9.97,16.13,34.65,9.89,102.56,50.11,27.41,0.32,7.48,84.0,70.52,54.15,54.25,61.74,37.51,3.26,57.99,37.45,94.97,79.94,112.05,52.35,8.67,104.5,22.43,128.72,87.99,89.87,41.28,69.65,68.54,74.02,54.29,35.17,16.26,62.63,46.0,10.1,103.71,29.71,16.33,76.87,42.21,89.95,12.72,93.83,58.63,-999
1967,125.12,-999,-999,6.18,13.83,36.26,11.61,96.19,50.57,27.36,0.1,3.91,75.62,64.95,49.54,54.02,50.1,35.01,0.53,61.52,33.44,117.38,78.37,114.98,38.83,7.45,96.78,17.32,126.14,80.74,99.66,39.97,65.67,67.42,76.22,54.92,24.45,15.88,55.18,56.0,3.94,99.35,25.02,9.09,71.17,36.93,88.51,14.01,96.61,49.8,-999
1968,133.99,-999,-999,14.26,16.42,34.9,10.76,106.02,64.6,40.05,0.09,9.48,77.34,69.61,55.02,58.56,58.35,45.14,1.65,66.8,46.23,98.04,78.51,102.76,48.66,11.18,92.93,32.03,112.08,81.25,92.67,51.99,60.83,59.81,79.88,63.53,29.72,20.2,65.17,60.0,11.98,97.09,40.58,6.81,67.08,51.7,87.45,19.4,89.04,66.32,-999
1969,116.76,-999,-999,8.87,8.67,27.97,11.37,96.3,60.3,25.38,0.0,5.01,87.97,77.93,53.73,58.09,45.82,30.17,0.86,60.68,32.79,104.62,83.45,116.16,39.58,7.1,111.56,23.01,126.22,85.46,101.46,42.56,57.07,64.61,88.1,64.16,18.84,28.57,64.57,61.0,9.81,106.7,26.72,5.62,65.53,40.27,93.45,30.94,105.13,65.91,-999
1970,121.57,-999,-999,15.84,18.34,34.37,8.09,101.35,73.97,37.94,0.43,12.29,82.78,63.05,56.62,57.48,57.83,35.67,3.19,77.2,37.38,107.15,91.33,124.03,45.54,12.5,106.22,28.15,131.04,89.05,107.74,48.09,65.42,65.03,90.57,60.49,29.51,21.38,63.62,70.0,15.78,107.96,29.44,8.94,58.89,37.88,102.0,20.96,102.62,47.81,-999
1971,139.5,-999,-999,8.35,11.13,41.33,14.48,97.49,43.31,25.82,0.34,6.59,76.2,74.91,47.17,48.83,46.28,28.69,1.13,59.0,28.3,118.11,84.04,114.78,37.26,6.55,100.05,17.44,123.58,78.42,99.9,35.28,63.88,72.65,80.18,50.29,22.34,25.14,57.18,50.0,6.21,104.57,24.06,7.19,72.91,32.35,94.31,27.18,100.2,48.9,-999
1972,144.66,-999,-999,6.5,12.43,33.39,14.94,94.16,66.1,24.15,0.0,3.69,85.98,67.1,54.07,48.74,55.32,27.24,2.75,54.96,21.75,126.99,89.49,123.49,41.27,6.99,95.72,14.3,127.96,81.75,101.09,34.82,65.29,62.21,82.99,48.94,31.26,30.91,54.64,47.0,5.83,101.31,20.96,12.55,61.55,25.48,96.87,30.22,108.44,42.87,-999
1973,129.97,-999,-999,9.12,10.95,29.7,6.98,95.62,36.99,22.9,0.0,5.01,57.43,65.08,37.66,37.38,38.84,25.38,1.68,41.05,25.29,89.25,62.16,90.61,33.02,6.14,87.09,19.97,106.6,58.4,74.56,29.97,66.61,52.29,59.72,39.86,22.39,17.6,44.73,37.0,8.62,76.75,22.58,9.76,67.41,27.53,64.24,15.51,73.33,39.66,-999
1974,124.63,-999,-999,5.55,8.15,32.91,10.27,95.48,47.92,13.31,0.0,2.99,65.27,58.96,37.02,37.77,43.4,16.95,0.07,52.76,14.97,111.19,72.65,107.97,32.73,2.76,76.72,9.54,123.93,68.4,95.44,31.54,72.97,60.99,74.8,41.08,24.72,22.14,47.0,49.0,2.45,87.85,13.19,8.59,69.31,18.6,83.82,16.75,86.33,31.8,-999
1975,133.55,-999,-999,9.15,10.57,32.83,11.31,108.08,49.85,13.49,0.0,4.53,85.21,74.67,42.54,34.06,52.91,20.27,1.44,51.26,16.65,103.84,78.53,119.15,35.88,5.27,108.11,12.07,125.69,90.18,92.89,28.86,71.52,68.47,77.46,35.28,21.98,21.96,48.32,42.0,4.38,108.52,19.58,7.47,75.8,21.85,79.48,26.6,104.86,36.85,-999
1976,120.28,-999,-999,17.09,16.46,34.44,14.47,104.58,67.19,34.22,0.16,9.5,82.71,84.57,65.83,64.06,56.31,41.82,3.15,71.76,37.66,115.68,94.23,117.48,49.84,10.73,87.28,27.46,126.07,82.21,113.51,51.04,74.02,84.69,90.16,65.37,31.91,27.47,70.49,67.0,13.1,96.97,36.51,12.17,82.76,37.77,97.69,21.92,108.71,63.78,-999
1977,116.98,-999,-999,22.75,25.15,26.18,10.42,99.28,59.74,44.7,1.01,16.0,79.98,73.34,66.68,63.99,58.54,46.01,6.76,58.42,49.14,96.66,86.86,102.64,51.48,17.86,88.81,40.45,112.93,81.93,91.49,50.77,65.92,66.87,76.0,64.88,32.93,26.24,65.31,55.0,25.79,92.59,45.36,11.44,65.04,46.18,82.02,22.44,92.98,61.78,-999
1978,119.01,-999,-999,14.51,30.81,19.13,8.83,95.95,77.91,49.7,0.23,9.37,96.09,64.46,74.06,70.39,71.97,51.08,3.87,72.83,48.3,123.55,97.12,119.57,62.47,16.19,111.51,31.74,127.57,99.33,116.25,54.59,58.8,49.04,92.92,69.97,45.38,24.67,72.11,70.0,14.04,113.09,47.35,15.93,49.74,45.42,105.15,27.15,112.93,58.17,-999
