Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1924,-999.0,3.19,1.36,-999.0,-999.0,0.09,-999.0,3.0,4.29,2.61,1.35,0.0,1.34,1.26,1.18,2.13,2.2,-999.0,-999.0,1.29,0.33,1.02,1.97,2.53,0.15,2.78,0.52,0.69,-999.0,2.65,0.0,-999.0,1.41,0.59,1.11,0.6,1.4,-999.0,4.1,0.24,3.04,1.45,0.0,2.97,-999.0,0.92,1.22,1.77,-999.0
1925,-999.0,4.33,2.47,-999.0,-999.0,0.22,-999.0,1.0,4.07,2.83,1.54,0.09,1.18,1.32,1.23,0.65,4.99,-999.0,-999.0,0.79,0.52,0.91,2.45,4.2,0.11,1.13,0.2,0.75,-999.0,1.68,0.0,-999.0,0.49,0.85,1.09,0.07,0.47,-999.0,1.36,0.49,2.27,1.91,0.17,0.21,-999.0,0.49,1.02,1.04,-999.0
1926,-999.0,4.68,3.65,-999.0,-999.0,0.16,-999.0,2.0,4.15,3.73,2.23,0.0,2.46,1.31,1.37,2.62,6.4,-999.0,-999.0,2.2,0.81,0.58,1.96,4.33,0.04,1.55,0.21,0.9,-999.0,1.61,0.25,-999.0,0.94,1.39,3.15,0.91,1.01,-999.0,2.97,0.57,3.79,3.49,0.0,0.76,-999.0,0.64,1.27,1.3,-999.0
1927,-999.0,2.87,5.81,-999.0,-999.0,0.26,-999.0,-999.0,2.46,2.1,0.71,0.0,2.12,2.41,1.73,1.69,5.48,-999.0,-999.0,0.51,0.48,0.5,4.25,5.43,0.26,2.86,0.42,0.51,-999.0,2.88,0.14,-999.0,0.97,0.92,2.79,0.84,0.52,-999.0,2.28,0.24,3.2,2.6,0.15,1.2,-999.0,1.4,0.85,0.42,-999.0
1928,-999.0,4.08,4.49,-999.0,-999.0,0.15,-999.0,4.0,5.07,3.55,1.6,0.0,1.14,1.1,1.73,1.26,5.38,-999.0,-999.0,0.0,0.41,0.77,3.26,5.24,0.0,4.03,0.56,0.8,-999.0,1.86,0.29,-999.0,0.55,0.43,1.69,0.48,0.66,-999.0,4.82,0.41,2.52,1.93,0.17,1.46,-999.0,0.68,0.91,0.46,-999.0
1929,-999.0,7.95,2.03,-999.0,-999.0,0.36,-999.0,1.0,3.84,7.15,0.67,0.0,1.48,1.56,1.31,1.04,5.36,-999.0,-999.0,0.22,0.8,0.44,2.37,4.41,0.19,3.68,0.06,0.86,-999.0,1.22,0.14,-999.0,0.77,1.34,3.15,0.63,1.04,-999.0,4.63,0.65,2.92,2.99,0.15,2.47,-999.0,0.58,0.74,0.92,-999.0
1930,4.09,2.62,4.57,0.15,0.58,0.67,-999.0,1.0,5.11,2.19,1.06,0.0,0.67,0.5,1.49,0.41,5.12,-999.0,-999.0,1.8,0.26,0.42,1.23,3.16,0.08,0.85,0.15,0.81,-999.0,1.74,0.28,-999.0,0.28,0.12,1.34,0.08,0.38,-999.0,1.31,0.36,2.17,2.63,0.0,0.6,-999.0,0.34,0.57,0.13,-999.0
1931,3.07,2.17,3.43,0.36,1.26,0.1,-999.0,1.0,3.18,2.32,1.95,0.0,1.78,1.67,1.36,0.91,4.8,-999.0,-999.0,0.0,0.41,0.84,2.15,3.58,0.04,2.98,0.0,0.59,-999.0,0.51,0.07,-999.0,0.51,1.01,1.49,0.39,1.02,-999.0,1.96,0.26,1.64,1.65,0.0,0.92,-999.0,1.41,0.63,0.88,-999.0
1932,3.91,3.88,3.62,0.08,0.5,0.11,-999.0,3.0,2.17,4.76,1.24,0.0,0.9,2.47,0.98,2.44,5.9,-999.0,-999.0,2.52,0.6,0.36,1.54,7.55,0.15,3.32,0.84,0.69,-999.0,3.77,0.39,-999.0,1.81,0.44,3.34,0.66,0.47,-999.0,3.94,0.4,3.85,3.47,0.3,1.69,-999.0,2.03,0.71,0.65,-999.0
1933,4.34,3.14,4.05,0.0,1.04,0.23,-999.0,4.0,5.71,2.42,1.22,0.0,1.37,1.8,1.19,2.64,6.01,-999.0,-999.0,2.14,0.59,0.44,1.65,4.32,0.35,0.92,0.25,0.87,-999.0,2.45,0.07,-999.0,0.84,1.04,2.19,1.22,0.62,-999.0,2.39,0.48,4.13,2.13,0.0,0.83,-999.0,2.49,0.8,1.48,-999.0
1934,3.93,4.0,3.53,0.04,0.63,0.08,-999.0,4.0,3.31,3.89,0.85,0.0,0.9,0.93,0.65,2.61,5.64,-999.0,-999.0,2.3,0.22,0.34,1.95,4.6,0.04,3.63,0.2,0.36,-999.0,2.21,0.12,-999.0,0.64,0.54,1.74,0.31,0.58,-999.0,2.28,0.25,2.59,2.12,0.15,2.78,-999.0,1.32,1.01,0.75,-999.0
1935,5.0,2.96,4.2,0.05,0.68,0.15,-999.0,5.0,3.19,1.73,1.5,0.0,1.57,1.38,1.78,4.32,4.61,-999.0,-999.0,0.72,0.34,0.64,1.7,4.94,0.1,2.12,0.56,1.02,-999.0,2.97,0.0,-999.0,1.25,1.26,2.17,0.14,1.06,-999.0,2.79,0.19,2.97,3.95,0.0,1.46,-999.0,1.58,0.91,0.27,-999.0
1936,2.62,5.07,3.01,0.1,1.42,0.36,-999.0,6.0,4.17,5.89,1.01,0.0,1.44,1.05,0.88,1.29,3.07,-999.0,-999.0,2.46,0.24,0.53,2.13,3.54,0.0,4.49,0.0,0.32,-999.0,3.04,0.25,-999.0,0.59,0.55,1.63,0.79,1.05,-999.0,4.2,0.22,3.11,2.53,0.0,2.26,-999.0,1.66,0.56,1.47,-999.0
1937,4.6,4.94,5.14,0.04,1.92,0.0,-999.0,1.0,5.33,2.72,0.83,0.07,1.41,3.2,0.94,1.65,4.29,-999.0,-999.0,3.75,0.51,0.75,1.94,2.42,0.34,1.81,0.19,0.6,-999.0,1.42,0.44,-999.0,1.2,2.25,1.17,1.75,1.37,-999.0,2.27,0.54,3.55,1.7,0.0,3.12,-999.0,2.2,0.58,0.91,-999.0
1938,3.56,4.16,4.67,0.21,1.26,0.29,-999.0,3.0,3.86,3.19,1.69,0.0,1.59,1.66,2.3,1.36,4.49,-999.0,-999.0,1.01,0.59,0.42,2.12,3.57,0.26,1.6,0.19,0.92,-999.0,3.8,0.41,-999.0,0.95,0.94,2.72,1.03,0.21,-999.0,2.33,0.44,2.56,2.58,0.0,1.29,-999.0,0.69,2.06,0.82,-999.0
1939,4.29,3.86,4.47,0.3,0.68,0.0,-999.0,3.0,4.07,2.78,0.82,0.0,1.44,1.54,0.87,2.18,3.34,-999.0,-999.0,0.72,0.43,0.42,1.33,4.59,0.08,2.3,0.23,0.49,-999.0,1.18,0.0,-999.0,0.18,0.77,1.03,0.61,0.55,-999.0,2.07,0.51,2.79,1.74,0.0,1.09,-999.0,0.78,0.54,0.66,-999.0
1940,5.57,4.09,2.16,0.24,2.23,0.04,-999.0,1.0,3.3,2.83,1.37,0.0,0.41,0.4,1.18,0.93,8.95,-999.0,-999.0,0.72,0.74,0.66,0.81,4.26,0.25,2.78,0.13,0.45,-999.0,2.51,0.0,-999.0,0.55,0.91,2.26,0.42,0.79,-999.0,2.6,0.22,1.19,3.79,0.0,1.84,-999.0,0.51,1.23,1.65,-999.0
1941,2.47,4.14,2.56,0.44,1.35,0.39,-999.0,0.0,5.17,3.43,1.77,0.0,1.92,0.7,2.38,0.96,5.55,-999.0,-999.0,0.0,0.77,0.95,3.29,2.33,0.38,2.22,0.88,0.89,-999.0,1.34,0.88,-999.0,0.69,0.81,3.22,1.01,0.59,-999.0,3.37,0.57,1.55,3.75,0.0,1.07,-999.0,0.74,1.73,0.78,-999.0
1942,2.67,3.48,4.19,0.01,1.19,0.55,-999.0,2.0,3.73,4.14,1.08,0.0,1.8,1.23,1.74,3.58,6.12,-999.0,-999.0,1.9,0.84,1.66,3.2,3.89,0.23,2.46,0.2,1.47,-999.0,1.78,0.18,-999.0,1.24,0.39,2.07,0.9,1.2,-999.0,2.71,0.88,2.61,2.93,0.0,3.68,-999.0,0.7,1.64,0.26,-999.0
1943,2.69,3.77,1.75,0.19,1.54,0.07,-999.0,2.0,4.17,3.72,1.34,0.0,1.72,2.33,1.04,1.4,5.19,-999.0,-999.0,2.61,0.4,0.89,2.59,3.25,0.22,2.6,0.13,0.67,-999.0,1.58,0.19,-999.0,0.5,0.8,2.16,1.06,0.54,-999.0,3.61,0.46,2.06,1.81,0.0,1.11,-999.0,0.55,1.15,0.82,-999.0
1944,3.37,3.92,4.72,0.1,0.96,0.39,-999.0,2.0,3.14,4.11,1.5,0.09,1.18,1.08,1.97,0.42,5.65,-999.0,-999.0,2.03,0.43,1.33,2.14,4.85,0.39,3.27,0.8,0.93,-999.0,2.82,0.31,-999.0,0.62,0.55,1.82,0.02,0.83,-999.0,3.05,0.87,3.76,3.78,0.0,2.48,-999.0,0.18,0.64,1.17,-999.0
1945,2.56,4.02,6.21,0.03,1.48,0.34,-999.0,2.0,5.71,2.88,1.31,0.0,1.59,2.43,1.85,1.49,6.2,-999.0,-999.0,0.57,0.93,0.62,3.32,3.81,0.0,2.86,0.41,0.73,-999.0,2.12,0.24,-999.0,1.53,1.25,3.5,0.82,0.48,-999.0,5.05,0.24,3.3,3.43,0.0,1.39,-999.0,1.22,0.86,0.82,-999.0
1946,1.34,5.47,4.93,0.61,0.93,0.49,-999.0,1.0,3.04,3.32,1.28,0.08,1.74,0.92,1.89,0.85,7.43,-999.0,-999.0,0.0,0.35,1.26,2.64,6.12,0.12,2.02,0.4,1.2,-999.0,2.66,0.17,-999.0,0.41,0.81,2.92,0.6,1.38,-999.0,3.38,0.81,2.93,4.25,0.15,1.23,-999.0,1.0,1.0,1.07,-999.0
1947,3.31,3.81,2.28,0.09,0.42,0.11,-999.0,1.0,6.06,4.95,1.78,0.0,1.46,1.01,0.97,0.73,4.75,-999.0,-999.0,0.0,1.16,0.71,2.72,4.94,0.04,2.27,0.57,1.11,-999.0,1.39,0.0,-999.0,1.05,0.89,1.55,0.52,0.65,-999.0,2.78,0.54,1.29,1.26,0.0,1.61,-999.0,0.6,1.18,0.47,-999.0
1948,3.83,6.13,3.4,0.24,0.72,0.05,-999.0,4.0,4.5,4.58,0.95,0.0,1.18,1.98,1.7,3.85,5.03,-999.0,-999.0,0.88,0.46,0.76,1.88,6.78,0.23,2.32,0.62,0.74,-999.0,2.44,0.22,-999.0,0.72,1.0,1.91,1.12,0.35,-999.0,4.11,0.42,4.32,1.36,0.0,1.93,-999.0,0.82,0.14,1.52,-999.0
1949,3.82,3.54,4.48,0.25,0.48,0.49,-999.0,0.0,5.36,2.62,0.94,0.0,1.79,2.64,1.49,2.95,4.75,-999.0,-999.0,0.0,0.45,1.13,1.77,4.34,0.08,2.62,0.43,0.93,-999.0,0.92,0.14,-999.0,1.15,1.07,1.74,0.97,0.4,-999.0,2.31,0.3,2.91,3.47,0.0,2.02,-999.0,1.19,0.62,0.74,-999.0
1950,2.37,3.05,5.44,0.06,1.74,0.11,1.16,3.0,4.11,2.43,1.82,0.0,2.51,3.21,1.63,2.52,5.75,1.87,1.95,1.73,0.99,0.6,1.87,5.23,0.08,1.98,0.75,1.07,1.42,1.76,0.25,0.05,0.7,1.38,2.61,1.1,1.14,0.63,2.18,0.65,2.91,2.24,0.0,1.2,0.68,0.94,1.14,0.88,0.04
1951,3.02,3.6,3.49,1.05,1.19,0.72,1.76,2.0,4.04,2.42,1.71,0.08,2.01,1.06,3.09,3.61,3.56,1.27,1.86,2.89,0.4,1.09,1.92,5.25,0.0,1.35,0.42,1.1,1.31,1.8,0.0,0.04,0.33,0.48,2.14,0.49,0.41,0.51,1.68,0.61,4.12,1.49,0.15,0.75,0.33,0.81,0.83,0.3,0.0
1952,3.49,2.46,3.25,0.16,1.43,0.2,3.56,3.0,4.25,2.77,1.62,0.15,0.83,1.53,0.24,2.08,5.51,2.05,3.06,1.29,0.27,1.07,0.91,1.55,0.17,2.3,0.32,1.07,1.24,3.63,0.0,0.03,1.14,0.43,1.13,0.11,0.86,0.98,2.91,0.15,2.07,2.41,0.0,1.51,1.86,0.12,1.32,0.39,0.13
1953,2.75,3.34,3.7,0.13,0.76,0.06,1.95,3.0,5.69,3.67,0.61,0.0,0.51,0.38,0.79,1.49,6.78,2.24,1.68,1.16,0.43,1.79,0.76,5.28,0.7,1.78,0.49,0.67,1.84,1.77,0.0,0.0,0.81,0.33,2.22,0.57,1.25,4.79,2.88,0.81,2.54,2.87,0.0,0.73,0.83,0.76,1.09,0.92,0.05
1954,2.5,1.33,2.25,0.44,1.52,0.05,2.93,2.0,3.04,1.17,1.69,0.15,1.35,0.67,0.83,1.7,3.21,3.11,0.73,2.3,1.55,0.88,1.51,3.35,0.08,2.93,0.53,0.77,2.96,2.18,0.13,0.0,0.74,0.63,1.18,0.88,1.63,4.31,2.13,0.66,3.4,1.56,0.0,1.64,0.47,0.59,1.18,2.0,0.02
1955,2.46,3.53,2.85,0.21,1.7,0.48,5.37,2.0,2.98,2.31,0.65,0.07,1.63,1.45,1.3,2.7,7.05,3.29,3.18,0.72,0.42,1.04,1.82,4.29,0.15,2.86,0.47,0.4,0.6,2.99,0.25,0.25,1.37,0.88,2.04,0.97,1.46,4.31,2.63,0.25,2.79,1.7,0.21,1.68,0.9,1.24,0.7,0.78,0.06
