Year,AK,HI,PR,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1957,-999,-999,-999,-999,-999,0.0,-999,0.04,-999,-999,-999,-999,0.03,0.06,0.0,0.0,0.0,-999,-999,-999,-999,1.29,0.02,0.61,0.0,-999,2.31,0.0,0.47,0.0,0.53,-999,0.2,0.0,1.38,0.0,-999,0.13,0.0,-999,-999,0.03,-999,-999,0.05,-999,1.26,0.32,0.09,0.0,-999
1958,-999,-999,-999,-999,-999,0.0,-999,0.02,-999,-999,-999,-999,0.09,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.06,0.31,0.0,-999,0.1,0.0,0.38,0.0,0.06,-999,0.04,0.0,0.0,0.0,-999,0.0,0.0,-999,-999,0.11,-999,-999,0.02,-999,0.0,0.0,0.29,0.0,-999
1959,-999,-999,-999,-999,-999,0.0,-999,0.02,-999,-999,-999,-999,0.0,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.08,1.73,0.0,-999,0.74,0.0,1.14,0.0,0.04,-999,0.04,0.0,0.05,0.0,-999,0.0,0.0,-999,-999,0.05,-999,-999,0.02,-999,0.27,0.0,0.38,0.0,-999
1960,-999,-999,-999,-999,-999,0.0,-999,0.11,-999,-999,-999,-999,0.02,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.02,0.09,0.0,-999,0.47,0.0,0.2,0.0,0.08,-999,0.11,0.0,0.01,0.0,-999,0.0,0.0,-999,-999,0.04,-999,-999,0.05,-999,0.0,0.0,0.01,0.0,-999
1961,-999,-999,-999,-999,-999,0.0,-999,0.08,-999,-999,-999,-999,0.0,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.08,0.23,0.0,-999,0.21,0.0,0.4,0.0,0.08,-999,0.11,0.0,0.12,0.0,-999,0.0,0.5,-999,-999,0.03,-999,-999,0.05,-999,0.0,0.0,0.01,0.0,-999
1962,-999,-999,-999,-999,-999,0.0,-999,0.77,-999,-999,-999,-999,0.25,0.54,0.0,0.0,0.0,-999,-999,-999,-999,1.29,0.12,2.12,0.0,-999,1.08,0.0,2.49,0.09,0.21,-999,0.11,0.0,0.11,0.0,-999,0.36,0.0,-999,-999,0.25,-999,-999,0.23,-999,0.23,0.08,0.96,0.0,-999
1963,-999,-999,-999,-999,-999,1.5,-999,1.21,-999,-999,-999,-999,0.06,0.33,0.0,0.18,0.0,-999,-999,-999,-999,0.0,0.83,1.35,0.0,-999,1.67,0.0,0.82,0.17,0.11,-999,1.2,0.0,0.03,0.28,-999,0.0,0.0,-999,-999,0.39,-999,-999,0.05,-999,0.0,0.0,1.99,0.0,-999
1964,-999,-999,-999,-999,-999,0.0,-999,0.18,-999,-999,-999,-999,0.0,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.02,0.11,0.0,-999,0.71,0.0,0.2,0.02,0.0,-999,0.11,0.0,0.01,0.0,-999,0.49,0.0,-999,-999,0.01,-999,-999,0.02,-999,0.0,0.0,0.01,0.0,-999
1965,-999,-999,-999,-999,-999,0.0,-999,0.06,-999,-999,-999,-999,0.03,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.56,1.84,0.0,-999,0.15,0.0,0.72,0.0,0.0,-999,0.04,0.0,0.11,0.0,-999,0.0,0.0,-999,-999,0.11,-999,-999,0.02,-999,0.0,0.0,0.8,0.0,-999
1966,-999,-999,-999,-999,-999,0.0,-999,0.15,-999,-999,-999,-999,0.03,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.29,0.06,3.28,0.0,-999,0.39,0.0,4.18,0.0,0.0,-999,0.04,0.0,0.08,0.0,-999,0.0,0.0,-999,-999,0.71,-999,-999,0.08,-999,0.0,0.0,0.9,0.0,-999
