Year,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
2012,3.73,13.99,0.38,0.24,0.0,0.0,6.36,11.25,2.41
2013,8.29,24.18,4.84,1.62,0.0,0.0,15.61,34.91,8.84
2014,19.52,34.54,2.09,14.73,0.5,1.15,8.5,48.26,0.24
2015,24.43,21.91,1.28,11.61,0.11,0.88,5.49,32.32,1.77
2016,7.52,14.38,2.94,3.11,0.06,0.09,7.49,19.11,1.33
2017,8.5,20.45,5.01,3.35,0.02,0.09,5.22,19.39,1.55
2018,11.09,24.69,1.02,7.8,0.2,0.48,6.23,26.29,0.0
2019,13.56,32.3,2.09,4.6,0.0,0.1,8.96,35.44,0.62
2020,6.14,13.08,0.99,0.92,0.0,0.02,6.85,15.8,0.0
2021,6.39,19.33,0.55,4.38,0.68,0.05,5.04,20.15,0.12
2022,15.0,33.38,4.29,5.72,0.47,0.3,10.31,36.81,1.76
2023,2.9,15.68,1.95,0.41,0.0,0.02,8.64,12.38,1.18
2024,3.52,14.93,2.97,4.11,0.62,0.18,5.07,12.19,0.12
