Year,AK,HI,PR,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1965,-999,-999,-999,0.04,1.41,34.78,15.89,1.13,0.0,0.03,0.0,0.02,0.15,0.82,0.28,0.11,4.69,0.41,0.42,0.01,0.0,0.0,0.0,0.21,0.64,0.09,0.63,0.02,0.51,1.66,0.0,0.05,5.95,0.28,0.01,0.0,7.98,1.26,0.01,0.0,0.06,3.75,0.05,13.03,2.54,0.05,0.0,1.61,0.06,0.02,0.65
1966,-999,-999,-999,1.45,7.63,41.57,25.55,2.72,0.0,1.54,0.07,0.73,0.74,2.28,3.37,0.95,11.74,1.63,1.78,0.08,2.44,0.0,0.15,0.52,4.81,2.59,1.99,0.66,0.22,5.23,0.55,1.08,6.08,4.9,0.44,0.03,10.34,1.46,0.86,0.0,1.36,5.98,1.92,10.91,10.01,0.88,0.0,0.5,0.08,0.28,3.09
1967,-999,-999,-999,0.04,0.06,31.67,28.12,0.57,0.0,0.03,0.34,0.17,0.23,4.32,0.01,0.0,2.81,0.0,0.05,0.01,0.0,0.0,0.0,0.0,0.01,0.05,0.31,0.02,0.34,1.77,0.0,0.06,1.72,6.01,0.01,0.01,3.51,6.89,0.01,0.0,0.06,2.28,0.03,15.08,9.42,0.03,0.0,4.57,0.0,0.02,0.08
1968,-999,-999,-999,0.32,0.09,36.1,18.88,2.27,0.0,0.03,0.09,3.35,0.01,2.5,0.04,0.0,8.34,0.0,0.01,0.01,0.0,0.0,0.0,0.02,0.05,0.11,0.31,1.41,0.32,3.73,0.0,0.06,4.61,4.88,0.07,0.0,3.86,3.39,0.01,0.0,3.94,2.23,1.24,3.97,8.23,0.08,0.0,2.61,0.02,0.02,0.3
1969,-999,-999,-999,1.23,9.21,43.46,26.38,3.87,0.0,0.03,0.41,0.84,0.02,2.71,0.04,0.0,10.1,0.09,8.33,0.01,0.0,0.0,0.0,0.0,1.17,4.21,2.08,0.39,0.75,3.35,0.0,0.06,10.27,6.61,0.01,0.01,18.75,1.21,0.01,0.0,1.66,4.46,1.91,27.42,12.66,0.03,0.0,0.16,0.0,0.02,1.67
1970,-999,-999,-999,0.4,4.68,43.54,26.72,3.88,0.0,0.03,0.17,1.19,0.3,2.51,0.28,0.18,20.12,0.0,0.86,0.01,0.0,0.0,0.0,0.03,3.33,1.27,1.4,0.48,0.45,7.76,0.0,0.06,5.15,6.16,0.01,0.02,19.54,3.23,0.01,0.0,3.79,6.48,0.33,16.36,11.09,0.07,0.0,2.63,0.02,0.02,1.78
1971,-999,-999,-999,0.0,3.56,38.8,25.71,3.5,0.0,0.03,0.02,0.24,0.1,3.21,0.27,0.07,7.74,0.09,1.32,0.01,0.0,0.0,0.3,0.1,0.79,0.6,3.43,0.02,1.95,2.58,0.0,0.06,5.93,9.24,0.01,0.1,6.99,5.25,0.01,0.0,0.03,5.43,0.05,9.89,13.2,0.03,0.0,5.78,0.0,0.02,1.19
1972,-999,-999,-999,0.13,4.56,38.21,23.01,1.26,0.0,0.03,0.0,0.91,0.01,2.08,0.01,0.0,2.62,0.0,0.43,0.01,0.0,0.0,0.0,0.01,1.23,0.11,0.24,0.02,0.12,0.61,0.0,0.06,3.83,8.53,0.01,0.01,7.48,4.67,0.01,0.0,0.06,1.18,0.03,6.91,9.37,0.02,0.0,1.85,0.0,0.02,0.56
1973,-999,-999,-999,0.0,0.62,45.91,28.62,2.8,0.0,0.03,0.06,0.02,0.01,2.2,0.01,0.0,9.59,0.0,0.21,0.01,0.0,0.0,0.0,0.17,0.56,0.14,1.55,0.02,1.75,3.2,0.0,0.23,5.96,5.38,0.01,0.0,3.35,1.97,0.01,0.0,0.13,7.52,0.15,4.73,11.03,0.03,0.0,1.73,0.0,0.02,1.64
1974,-999,-999,-999,0.0,2.86,44.29,25.89,3.54,0.0,0.03,0.05,0.02,1.86,2.8,0.28,0.07,16.15,0.0,0.39,0.01,0.0,0.0,0.03,0.29,4.2,0.42,1.1,0.02,0.6,9.31,0.0,0.06,6.25,5.01,0.01,0.01,9.79,2.09,0.0,0.0,0.21,8.24,0.03,12.65,15.07,0.03,0.0,0.83,0.15,0.02,1.13
