Year,AK,HI,PR,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1975,7.58,-999,-999,23.49,15.24,1.01,4.48,1.14,14.37,16.65,14.56,17.57,5.89,1.62,9.57,11.21,6.92,16.12,21.94,15.69,14.94,7.45,6.45,5.71,10.97,20.38,2.32,16.75,3.61,4.58,11.73,16.69,1.58,0.14,8.22,7.52,9.7,5.79,10.71,16.77,16.93,2.53,17.6,-999,0.8,14.26,7.5,8.84,6.36,9.0,1.11
1976,10.11,-999,-999,15.91,12.21,1.58,2.63,0.9,13.51,10.62,15.64,16.41,5.85,0.68,6.98,7.74,5.64,10.95,15.85,9.47,11.08,11.36,4.04,2.47,6.77,15.48,1.33,12.36,1.52,3.66,11.48,8.86,1.52,1.0,9.18,5.11,7.5,3.27,7.97,11.62,15.72,2.19,11.71,-999,0.45,10.93,10.73,4.27,3.43,7.77,0.78
1977,7.4,-999,-999,18.52,14.09,1.68,3.76,1.53,17.05,13.93,13.7,13.71,8.9,0.6,10.81,10.25,9.22,12.99,18.63,15.67,9.55,9.89,3.48,7.19,11.75,18.97,0.81,12.35,3.45,7.5,13.49,11.12,1.81,0.71,10.77,7.29,9.6,5.74,9.71,16.59,11.41,5.61,16.66,-999,0.55,8.69,8.09,5.64,6.59,7.15,0.93
1978,8.34,-999,-999,14.79,14.65,3.72,7.34,1.34,11.85,14.35,16.72,12.02,8.8,0.4,7.45,9.34,5.79,14.89,15.91,11.17,11.1,5.77,4.81,5.28,10.44,14.01,2.18,14.95,3.16,4.0,8.05,14.11,2.62,0.54,6.55,6.81,8.05,3.38,9.0,15.37,12.53,3.52,14.13,-999,1.53,11.84,4.95,3.45,8.02,10.38,1.39
1979,8.41,-999,-999,21.35,20.47,1.77,5.83,1.44,17.23,17.39,20.63,17.36,8.17,0.79,9.32,12.35,8.29,17.25,23.45,16.74,18.15,9.58,5.12,5.44,11.11,24.23,0.76,17.63,2.09,5.31,10.53,16.12,2.1,0.38,7.89,8.68,10.05,5.32,9.74,18.32,16.84,3.6,20.43,-999,0.87,15.21,6.16,5.63,6.13,9.08,0.6
1980,9.58,-999,-999,18.48,13.25,2.09,6.03,1.69,10.58,7.89,15.62,13.68,7.22,1.62,7.4,7.55,5.76,7.65,19.03,8.36,8.77,4.93,4.41,3.88,6.87,21.06,1.76,10.37,3.0,3.27,6.38,8.57,1.78,0.48,5.95,7.29,7.8,6.23,6.99,11.31,12.47,2.72,11.68,-999,1.45,6.8,2.68,5.95,8.01,8.69,0.49
1981,10.08,-999,-999,14.44,12.79,1.6,6.12,1.5,10.19,7.31,13.66,11.03,7.92,0.92,11.07,9.67,8.11,11.22,13.49,10.33,6.72,7.71,6.28,5.75,11.98,12.44,1.58,11.03,2.67,5.52,12.6,8.43,2.72,0.32,6.02,7.81,10.22,6.31,7.44,9.6,10.64,2.91,12.47,-999,0.99,7.18,9.11,6.01,6.32,6.32,1.03
1982,6.65,-999,-999,19.61,17.73,2.0,8.15,1.75,13.97,13.03,19.67,16.45,10.28,1.36,11.38,9.46,7.19,11.22,20.13,13.54,9.05,6.87,5.3,5.99,13.75,20.89,1.76,13.47,4.18,6.44,8.08,10.96,1.98,0.68,6.12,5.87,10.41,7.07,7.42,12.52,13.3,5.58,15.99,-999,1.91,10.39,5.54,7.48,7.66,6.96,1.48
1983,7.29,-999,-999,23.48,13.92,3.52,10.64,1.42,20.55,21.48,22.59,18.7,8.16,1.09,10.43,10.06,5.79,12.68,23.58,19.08,14.67,14.36,5.76,5.92,10.79,24.66,1.31,15.91,2.11,5.69,16.62,19.52,1.54,0.54,9.08,8.04,9.18,7.12,9.72,21.74,15.4,3.25,17.82,-999,1.18,13.71,9.41,7.09,6.54,7.24,0.54
1984,8.01,-999,-999,15.86,19.65,2.73,3.17,1.44,12.95,11.6,15.17,15.54,8.52,1.04,10.67,8.98,7.35,14.16,19.03,14.87,10.65,8.62,5.13,6.53,12.61,18.51,0.8,15.38,2.36,5.93,12.29,13.26,2.96,0.51,6.87,5.71,9.08,6.11,8.59,13.93,15.0,4.07,16.4,-999,0.95,12.25,7.0,6.2,7.56,8.01,0.89
1985,8.63,-999,-999,15.66,14.14,2.09,3.49,1.3,7.45,9.96,15.86,13.1,6.46,0.54,11.85,12.51,9.27,9.97,21.72,8.77,8.82,6.27,8.1,7.53,15.78,17.38,1.13,13.54,2.89,5.03,8.35,10.12,3.17,0.41,5.11,7.73,13.36,2.92,7.15,9.32,14.43,2.91,10.46,-999,1.05,12.19,3.96,3.73,7.79,8.05,0.57
1986,10.42,-999,-999,15.12,14.6,1.88,5.65,1.68,10.91,11.88,16.4,11.33,9.97,0.87,8.95,9.69,8.37,9.87,16.49,12.25,7.72,7.51,6.47,6.59,11.28,16.09,1.97,8.95,3.34,5.3,10.07,11.74,3.35,0.32,7.19,8.31,12.75,5.61,8.28,12.49,10.55,5.18,12.67,-999,1.24,7.48,7.8,6.05,7.34,6.99,1.19
