Year,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
2013,67.98,67.04,64.94,72.49,78.77,75.23,73.09,66.73,73.8
2014,66.92,65.1,64.3,72.4,78.63,75.09,71.67,66.05,73.3
2015,67.22,67.07,66.24,72.88,80.18,77.1,72.37,66.26,73.75
2016,69.24,67.52,63.57,75.51,81.19,78.18,73.16,68.15,73.99
2017,66.92,67.54,65.61,72.83,78.96,76.04,73.01,66.18,74.96
2018,68.96,66.81,64.13,74.94,80.5,77.0,73.88,68.24,74.51
2019,68.04,65.68,63.29,73.67,79.87,76.68,72.57,66.68,72.66
2020,69.69,67.92,63.13,74.52,79.88,76.9,74.35,69.01,73.78
2021,69.27,69.78,67.16,74.57,79.49,76.39,73.68,69.62,76.01
2022,68.89,68.39,65.58,74.56,81.21,76.86,73.46,67.58,74.57
2023,67.53,67.06,64.8,73.14,80.83,75.53,72.72,67.41,72.23
2024,69.5,67.25,65.15,74.27,81.02,77.06,74.63,67.36,75.66
