Folder,File name,Plain-language description,State/Region,Century,Emissions scenario,Season,Format,Date (file modified),Note
Mid-Century/Summer (JJA),MC_SSP585_HI_JJA_Precip_070626.aix,"Hawaii, Mid-Century, Very high emissions (SSP5-8.5), Summer (JJA)",Hawaii,Mid-Century,Very high emissions (SSP5-8.5),Summer (JJA),ArcGIS AIX data file,7/6/26,
Mid-Century/Summer (JJA),MC_SSP585_HI_JJA_Precip_070626.jpg,"Hawaii, Mid-Century, Very high emissions (SSP5-8.5), Summer (JJA)",Hawaii,Mid-Century,Very high emissions (SSP5-8.5),Summer (JJA),JPEG preview image,7/6/26,
Mid-Century/Winter (DJF),MC_SSP585_HI_DJF_Precip_070626.aix,"Hawaii, Mid-Century, Very high emissions (SSP5-8.5), Winter (DJF)",Hawaii,Mid-Century,Very high emissions (SSP5-8.5),Winter (DJF),ArcGIS AIX data file,7/6/26,
Mid-Century/Winter (DJF),MC_SSP585_HI_DJF_Precip_070626.jpg,"Hawaii, Mid-Century, Very high emissions (SSP5-8.5), Winter (DJF)",Hawaii,Mid-Century,Very high emissions (SSP5-8.5),Winter (DJF),JPEG preview image,7/6/26,
Mid-Century/Annual,MC_SSP245_IL_Annual_Precip_053025.ai,"Illinois, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Illinois,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,Adobe Illustrator source,5/30/25,
Mid-Century/Annual,MC_SSP245_IL_Annual_Precip_052725.aix,"Illinois, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Illinois,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,ArcGIS AIX data file,5/27/25,
Mid-Century/Annual,MC_SSP245_IL_Annual_Precip_052725.jpg,"Illinois, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Illinois,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,JPEG preview image,5/27/25,
Mid-Century/Fall (SON),MC_SSP245_IL_SON_Precip_052725.aix,"Illinois, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Illinois,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),ArcGIS AIX data file,5/27/25,
Mid-Century/Fall (SON),MC_SSP245_IL_SON_Precip_052725.jpg,"Illinois, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Illinois,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),JPEG preview image,5/27/25,
Mid-Century/Spring (MAM),MC_SSP245_IL_MAM_Precip_053025.ai,"Illinois, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Illinois,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),Adobe Illustrator source,5/30/25,
Mid-Century/Spring (MAM),MC_SSP245_IL_MAM_Precip_052725.aix,"Illinois, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Illinois,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),ArcGIS AIX data file,5/27/25,
Mid-Century/Spring (MAM),MC_SSP245_IL_MAM_Precip_052725.jpg,"Illinois, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Illinois,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),JPEG preview image,5/27/25,
Mid-Century/Summer (JJA),MC_SSP245_IL_JJA_Precip_052725.aix,"Illinois, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Illinois,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,5/27/25,
Mid-Century/Summer (JJA),MC_SSP245_IL_JJA_Precip_052725.jpg,"Illinois, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Illinois,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),JPEG preview image,5/27/25,
Mid-Century/Winter (DJF),MC_SSP245_IL_DJF_Precip_052725.aix,"Illinois, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Illinois,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),ArcGIS AIX data file,5/27/25,
Mid-Century/Winter (DJF),MC_SSP245_IL_DJF_Precip_052725.jpg,"Illinois, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Illinois,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),JPEG preview image,5/27/25,
Mid-Century/Annual,MC_SSP245_IN_Annual_Precip_053025.ai,"Indiana, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Indiana,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,Adobe Illustrator source,5/30/25,
Mid-Century/Annual,MC_SSP245_IN_Annual_Precip_052725.aix,"Indiana, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Indiana,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,ArcGIS AIX data file,5/27/25,
Mid-Century/Annual,MC_SSP245_IN_Annual_Precip_052725.jpg,"Indiana, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Indiana,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,JPEG preview image,5/27/25,
Mid-Century/Fall (SON),MC_SSP245_IN_SON_Precip_052725.aix,"Indiana, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Indiana,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),ArcGIS AIX data file,5/27/25,
Mid-Century/Fall (SON),MC_SSP245_IN_SON_Precip_052725.jpg,"Indiana, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Indiana,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),JPEG preview image,5/27/25,
Mid-Century/Spring (MAM),MC_SSP245_IN_MAM_Precip_053025.ai,"Indiana, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Indiana,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),Adobe Illustrator source,5/30/25,
Mid-Century/Spring (MAM),MC_SSP245_IN_MAM_Precip_052725.aix,"Indiana, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Indiana,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),ArcGIS AIX data file,5/27/25,
Mid-Century/Spring (MAM),MC_SSP245_IN_MAM_Precip_052725.jpg,"Indiana, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Indiana,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),JPEG preview image,5/27/25,
Mid-Century/Summer (JJA),MC_SSP245_IN_JJA_Precip_052725.aix,"Indiana, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Indiana,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,5/27/25,
Mid-Century/Summer (JJA),MC_SSP245_IN_JJA_Precip_052725.jpg,"Indiana, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Indiana,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),JPEG preview image,5/27/25,
Mid-Century/Winter (DJF),MC_SSP245_IN_DJF_Precip_052725.aix,"Indiana, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Indiana,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),ArcGIS AIX data file,5/27/25,
Mid-Century/Winter (DJF),MC_SSP245_IN_DJF_Precip_052725.jpg,"Indiana, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Indiana,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),JPEG preview image,5/27/25,
