Folder,File name,Plain-language description,State/Region,Century,Emissions scenario,Season,Format,Date (file modified),Note
Mid-Century/Annual,MC_SSP245_Precip_Annual_New Jersey.png,"New Jersey, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",New Jersey,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,PNG preview image,7/8/25,
Mid-Century/Fall (SON),MC_SSP245_Precip_Fall_New Jersey.aix,"New Jersey, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",New Jersey,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),ArcGIS AIX data file,8/26/25,
Mid-Century/Fall (SON),MC_SSP245_Precip_Fall_New Jersey.png,"New Jersey, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",New Jersey,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),PNG preview image,7/9/25,
Mid-Century/Spring (MAM),MC_SSP245_Precip_Spring_New Jersey.aix,"New Jersey, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",New Jersey,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),ArcGIS AIX data file,8/26/25,
Mid-Century/Spring (MAM),MC_SSP245_Precip_Spring_New Jersey.png,"New Jersey, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",New Jersey,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),PNG preview image,7/9/25,
Mid-Century/Summer (JJA),MC_SSP245_Precip_Summer_New Jersey.aix,"New Jersey, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",New Jersey,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,8/26/25,
Mid-Century/Summer (JJA),MC_SSP245_Precip_Summer_New Jersey.png,"New Jersey, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",New Jersey,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),PNG preview image,7/9/25,
Mid-Century/Winter (DJF),MC_SSP245_Precip_Winter_New Jersey.aix,"New Jersey, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",New Jersey,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),ArcGIS AIX data file,8/25/25,
Mid-Century/Winter (DJF),MC_SSP245_Precip_Winter_New Jersey.png,"New Jersey, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",New Jersey,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),PNG preview image,7/9/25,
Mid-Century/Annual,MC_SSP245_Precip_Annual_New York.aix,"New York, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",New York,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,ArcGIS AIX data file,8/26/25,
Mid-Century/Annual,MC_SSP245_Precip_Annual_New York.png,"New York, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",New York,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,PNG preview image,7/8/25,
Mid-Century/Fall (SON),MC_SSP245_Precip_Fall_New York.aix,"New York, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",New York,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),ArcGIS AIX data file,8/26/25,
Mid-Century/Fall (SON),MC_SSP245_Precip_Fall_New York.png,"New York, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",New York,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),PNG preview image,7/8/25,
Mid-Century/Spring (MAM),MC_SSP245_Precip_Spring_New York.aix,"New York, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",New York,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),ArcGIS AIX data file,8/26/25,
Mid-Century/Spring (MAM),MC_SSP245_Precip_Spring_New York.png,"New York, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",New York,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),PNG preview image,7/8/25,
Mid-Century/Summer (JJA),MC_SSP245_Precip_Summer_New York.aix,"New York, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",New York,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,8/26/25,
Mid-Century/Summer (JJA),MC_SSP245_Precip_Summer_New York.png,"New York, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",New York,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),PNG preview image,7/8/25,
Mid-Century/Winter (DJF),MC_SSP245_Precip_Winter_New York.aix,"New York, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",New York,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),ArcGIS AIX data file,8/26/25,
Mid-Century/Winter (DJF),MC_SSP245_Precip_Winter_New York.png,"New York, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",New York,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),PNG preview image,7/8/25,
Mid-Century/Annual,MC_SSP245_ND_Annual_Precip_053025.ai,"North Dakota, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",North Dakota,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,Adobe Illustrator source,5/30/25,
Mid-Century/Annual,MC_SSP245_ND_Annual_Precip_052725.aix,"North Dakota, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",North Dakota,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,ArcGIS AIX data file,5/27/25,
Mid-Century/Annual,MC_SSP245_ND_Annual_Precip_052725.jpg,"North Dakota, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",North Dakota,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,JPEG preview image,5/27/25,
Mid-Century/Fall (SON),MC_SSP245_ND_SON_Precip_052725.aix,"North Dakota, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",North Dakota,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),ArcGIS AIX data file,5/27/25,
Mid-Century/Fall (SON),MC_SSP245_ND_SON_Precip_052725.jpg,"North Dakota, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",North Dakota,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),JPEG preview image,5/27/25,
Mid-Century/Spring (MAM),MC_SSP245_ND_MAM_Precip_052725.aix,"North Dakota, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",North Dakota,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),ArcGIS AIX data file,5/27/25,
Mid-Century/Spring (MAM),MC_SSP245_ND_MAM_Precip_052725.jpg,"North Dakota, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",North Dakota,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),JPEG preview image,5/27/25,
Mid-Century/Summer (JJA),MC_SSP245_ND_JJA_Precip_052725.aix,"North Dakota, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",North Dakota,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,5/27/25,
Mid-Century/Summer (JJA),MC_SSP245_ND_JJA_Precip_052725.jpg,"North Dakota, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",North Dakota,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),JPEG preview image,5/27/25,
Mid-Century/Winter (DJF),MC_SSP245_ND_DJF_Precip_053025.ai,"North Dakota, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",North Dakota,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),Adobe Illustrator source,5/30/25,
Mid-Century/Winter (DJF),MC_SSP245_ND_DJF_Precip_052725.aix,"North Dakota, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",North Dakota,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),ArcGIS AIX data file,5/27/25,
Mid-Century/Winter (DJF),MC_SSP245_ND_DJF_Precip_052725.jpg,"North Dakota, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",North Dakota,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),JPEG preview image,5/27/25,
Mid-Century/Annual,MC_SSP245_OH_Annual_Precip_053025.ai,"Ohio, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Ohio,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,Adobe Illustrator source,5/30/25,
Mid-Century/Annual,MC_SSP245_OH_Annual_Precip_052725.aix,"Ohio, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Ohio,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,ArcGIS AIX data file,5/27/25,
Mid-Century/Annual,MC_SSP245_OH_Annual_Precip_052725.jpg,"Ohio, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Ohio,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,JPEG preview image,5/27/25,
Mid-Century/Fall (SON),MC_SSP245_OH_SON_Precip_052725.aix,"Ohio, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Ohio,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),ArcGIS AIX data file,5/27/25,
Mid-Century/Fall (SON),MC_SSP245_OH_SON_Precip_052725.jpg,"Ohio, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Ohio,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),JPEG preview image,5/27/25,
Mid-Century/Spring (MAM),MC_SSP245_OH_MAM_Precip_053025.ai,"Ohio, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Ohio,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),Adobe Illustrator source,5/30/25,
Mid-Century/Spring (MAM),MC_SSP245_OH_MAM_Precip_052725.aix,"Ohio, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Ohio,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),ArcGIS AIX data file,5/27/25,
Mid-Century/Spring (MAM),MC_SSP245_OH_MAM_Precip_052725.jpg,"Ohio, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Ohio,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),JPEG preview image,5/27/25,
Mid-Century/Summer (JJA),MC_SSP245_OH_JJA_Precip_052725.aix,"Ohio, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Ohio,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,5/27/25,
Mid-Century/Summer (JJA),MC_SSP245_OH_JJA_Precip_052725.jpg,"Ohio, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Ohio,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),JPEG preview image,5/27/25,
Mid-Century/Winter (DJF),MC_SSP245_OH_DJF_Precip_052725.aix,"Ohio, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Ohio,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),ArcGIS AIX data file,5/27/25,
Mid-Century/Winter (DJF),MC_SSP245_OH_DJF_Precip_052725.jpg,"Ohio, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Ohio,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),JPEG preview image,5/27/25,
Mid-Century/Annual,MC_SSP245_Precip_Annual_Oklahoma.aix,"Oklahoma, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Oklahoma,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,ArcGIS AIX data file,7/8/25,
Mid-Century/Annual,MC_SSP245_Precip_Annual_Oklahoma.png,"Oklahoma, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Oklahoma,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,PNG preview image,7/7/25,
Mid-Century/Fall (SON),MC_SSP245_Precip_Fall_Oklahoma.aix,"Oklahoma, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Oklahoma,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),ArcGIS AIX data file,7/8/25,
Mid-Century/Fall (SON),MC_SSP245_Precip_Fall_Oklahoma.png,"Oklahoma, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Oklahoma,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),PNG preview image,7/7/25,
Mid-Century/Spring (MAM),MC_SSP245_Precip_Spring_Oklahoma.aix,"Oklahoma, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Oklahoma,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),ArcGIS AIX data file,7/8/25,
Mid-Century/Spring (MAM),MC_SSP245_Precip_Spring_Oklahoma.png,"Oklahoma, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Oklahoma,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),PNG preview image,7/7/25,
Mid-Century/Summer (JJA),MC_SSP245_Precip_Summer_Oklahoma.ai,"Oklahoma, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Oklahoma,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),Adobe Illustrator source,7/8/25,
Mid-Century/Summer (JJA),MC_SSP245_Precip_Summer_Oklahoma.aix,"Oklahoma, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Oklahoma,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,7/8/25,
Mid-Century/Summer (JJA),MC_SSP245_Precip_Summer_Oklahoma.png,"Oklahoma, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Oklahoma,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),PNG preview image,7/7/25,
Mid-Century/Winter (DJF),MC_SSP245_Precip_Winter_Oklahoma.aix,"Oklahoma, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Oklahoma,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),ArcGIS AIX data file,7/8/25,
Mid-Century/Winter (DJF),MC_SSP245_Precip_Winter_Oklahoma.png,"Oklahoma, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Oklahoma,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),PNG preview image,7/7/25,
Mid-Century/Annual,MC_SSP245_Precip_Annual_Pennsylvania.aix,"Pennsylvania, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Pennsylvania,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,ArcGIS AIX data file,8/26/25,
Mid-Century/Annual,MC_SSP245_Precip_Annual_Pennsylvania.png,"Pennsylvania, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Pennsylvania,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,PNG preview image,7/8/25,
Mid-Century/Fall (SON),MC_SSP245_Precip_Fall_Pennsylvania.aix,"Pennsylvania, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Pennsylvania,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),ArcGIS AIX data file,8/26/25,
Mid-Century/Fall (SON),MC_SSP245_Precip_Fall_Pennsylvania.png,"Pennsylvania, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Pennsylvania,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),PNG preview image,7/8/25,
Mid-Century/Spring (MAM),MC_SSP245_Precip_Spring_Pennsylvania.aix,"Pennsylvania, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Pennsylvania,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),ArcGIS AIX data file,8/26/25,
Mid-Century/Spring (MAM),MC_SSP245_Precip_Spring_Pennsylvania.png,"Pennsylvania, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Pennsylvania,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),PNG preview image,7/8/25,
Mid-Century/Summer (JJA),MC_SSP245_Precip_Summer_Pennsylvania.aix,"Pennsylvania, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Pennsylvania,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,8/26/25,
Mid-Century/Summer (JJA),MC_SSP245_Precip_Summer_Pennsylvania.png,"Pennsylvania, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Pennsylvania,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),PNG preview image,7/8/25,
Mid-Century/Winter (DJF),MC_SSP245_Precip_Winter_Pennsylvania.aix,"Pennsylvania, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Pennsylvania,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),ArcGIS AIX data file,8/26/25,
Mid-Century/Winter (DJF),MC_SSP245_Precip_Winter_Pennsylvania.png,"Pennsylvania, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Pennsylvania,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),PNG preview image,7/8/25,
Mid-Century/Annual,MC_SSP245_PRUSVI_Annual_Precip_121925.ai,"Puerto Rico & U.S. Virgin Islands, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Puerto Rico & U.S. Virgin Islands,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,Adobe Illustrator source,12/22/25,
Mid-Century/Annual,MC_SSP245_PRUSVI_Annual_Precip_031326.aix,"Puerto Rico & U.S. Virgin Islands, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Puerto Rico & U.S. Virgin Islands,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,ArcGIS AIX data file,3/13/26,
Mid-Century/Annual,MC_SSP245_PRUSVI_Annual_Precip_031326.jpg,"Puerto Rico & U.S. Virgin Islands, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Puerto Rico & U.S. Virgin Islands,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,JPEG preview image,3/13/26,
Mid-Century/Fall (SON),MC_SSP245_PRUSVI_SON_Precip_031326.aix,"Puerto Rico & U.S. Virgin Islands, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Puerto Rico & U.S. Virgin Islands,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),ArcGIS AIX data file,3/13/26,
Mid-Century/Fall (SON),MC_SSP245_PRUSVI_SON_Precip_031326.jpg,"Puerto Rico & U.S. Virgin Islands, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Puerto Rico & U.S. Virgin Islands,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),JPEG preview image,3/13/26,
Mid-Century/Spring (MAM),MC_SSP245_PRUSVI_MAM_Precip_031326.aix,"Puerto Rico & U.S. Virgin Islands, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Puerto Rico & U.S. Virgin Islands,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),ArcGIS AIX data file,3/13/26,
Mid-Century/Spring (MAM),MC_SSP245_PRUSVI_MAM_Precip_031326.jpg,"Puerto Rico & U.S. Virgin Islands, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Puerto Rico & U.S. Virgin Islands,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),JPEG preview image,3/13/26,
Mid-Century/Summer (JJA),MC_SSP245_PRUSVI_JJA_Precip_031326.aix,"Puerto Rico & U.S. Virgin Islands, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Puerto Rico & U.S. Virgin Islands,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,3/13/26,
Mid-Century/Summer (JJA),MC_SSP245_PRUSVI_JJA_Precip_031326.jpg,"Puerto Rico & U.S. Virgin Islands, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Puerto Rico & U.S. Virgin Islands,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),JPEG preview image,3/13/26,
Mid-Century/Winter (DJF),MC_SSP245_PRUSVI_DJF_Precip_070626.aix,"Puerto Rico & U.S. Virgin Islands, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Puerto Rico & U.S. Virgin Islands,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),ArcGIS AIX data file,7/6/26,
Mid-Century/Winter (DJF),MC_SSP245_PRUSVI_DJF_Precip_070626.jpg,"Puerto Rico & U.S. Virgin Islands, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Puerto Rico & U.S. Virgin Islands,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),JPEG preview image,7/6/26,
Mid-Century/Annual,MC_SSP245_Precip_Annual_Rhode Island.aix,"Rhode Island, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Rhode Island,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,ArcGIS AIX data file,8/14/25,
Mid-Century/Annual,MC_SSP245_Precip_Annual_Rhode Island.png,"Rhode Island, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Rhode Island,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,PNG preview image,7/8/25,
Mid-Century/Fall (SON),MC_SSP245_Precip_Fall_Rhode Island.aix,"Rhode Island, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Rhode Island,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),ArcGIS AIX data file,8/14/25,
Mid-Century/Fall (SON),MC_SSP245_Precip_Fall_Rhode Island.png,"Rhode Island, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Rhode Island,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),PNG preview image,7/9/25,
Mid-Century/Spring (MAM),MC_SSP245_Precip_Spring_Rhode Island.aix,"Rhode Island, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Rhode Island,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),ArcGIS AIX data file,8/14/25,
Mid-Century/Spring (MAM),MC_SSP245_Precip_Spring_Rhode Island.png,"Rhode Island, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Rhode Island,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),PNG preview image,7/9/25,
Mid-Century/Summer (JJA),MC_SSP245_Precip_Summer_Rhode Island.aix,"Rhode Island, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Rhode Island,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,8/14/25,
Mid-Century/Summer (JJA),MC_SSP245_Precip_Summer_Rhode Island.png,"Rhode Island, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Rhode Island,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),PNG preview image,7/9/25,
Mid-Century/Winter (DJF),MC_SSP245_Precip_Winter_Rhode Island.aix,"Rhode Island, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Rhode Island,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),ArcGIS AIX data file,8/14/25,
Mid-Century/Winter (DJF),MC_SSP245_Precip_Winter_Rhode Island.png,"Rhode Island, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Rhode Island,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),PNG preview image,7/9/25,
Mid-Century/Annual,MC_SSP245_SD_Annual_Precip_053025.ai,"South Dakota, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",South Dakota,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,Adobe Illustrator source,5/30/25,
Mid-Century/Annual,MC_SSP245_SD_Annual_Precip_052725.aix,"South Dakota, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",South Dakota,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,ArcGIS AIX data file,5/27/25,
Mid-Century/Annual,MC_SSP245_SD_Annual_Precip_052725.jpg,"South Dakota, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",South Dakota,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,JPEG preview image,5/27/25,
Mid-Century/Fall (SON),MC_SSP245_SD_SON_Precip_052725.aix,"South Dakota, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",South Dakota,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),ArcGIS AIX data file,5/27/25,
Mid-Century/Fall (SON),MC_SSP245_SD_SON_Precip_052725.jpg,"South Dakota, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",South Dakota,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),JPEG preview image,5/27/25,
Mid-Century/Spring (MAM),MC_SSP245_SD_MAM_Precip_052725.aix,"South Dakota, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",South Dakota,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),ArcGIS AIX data file,5/27/25,
Mid-Century/Spring (MAM),MC_SSP245_SD_MAM_Precip_052725.jpg,"South Dakota, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",South Dakota,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),JPEG preview image,5/27/25,
Mid-Century/Summer (JJA),MC_SSP245_SD_JJA_Precip_052725.aix,"South Dakota, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",South Dakota,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,5/27/25,
Mid-Century/Summer (JJA),MC_SSP245_SD_JJA_Precip_052725.jpg,"South Dakota, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",South Dakota,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),JPEG preview image,5/27/25,
Mid-Century/Winter (DJF),MC_SSP245_SD_DJF_Precip_053025.ai,"South Dakota, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",South Dakota,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),Adobe Illustrator source,5/30/25,
Mid-Century/Winter (DJF),MC_SSP245_SD_DJF_Precip_052725.aix,"South Dakota, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",South Dakota,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),ArcGIS AIX data file,5/27/25,
Mid-Century/Winter (DJF),MC_SSP245_SD_DJF_Precip_052725.jpg,"South Dakota, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",South Dakota,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),JPEG preview image,5/27/25,
Mid-Century/Annual,MC_SSP245_Precip_Annual_Tennessee.aix,"Tennessee, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Tennessee,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,ArcGIS AIX data file,7/8/25,
Mid-Century/Annual,MC_SSP245_Precip_Annual_Tennessee.png,"Tennessee, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Tennessee,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,PNG preview image,7/7/25,
Mid-Century/Fall (SON),MC_SSP245_Precip_Fall_Tennessee.aix,"Tennessee, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Tennessee,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),ArcGIS AIX data file,7/8/25,
Mid-Century/Fall (SON),MC_SSP245_Precip_Fall_Tennessee.png,"Tennessee, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Tennessee,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),PNG preview image,7/7/25,
Mid-Century/Spring (MAM),MC_SSP245_Precip_Spring_Tennessee.ai,"Tennessee, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Tennessee,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),Adobe Illustrator source,7/8/25,
